e4_count,d4_count,knight_moves,bishop_moves,queen_moves_early,captures_early,early_castle,player
1,1,4,6,1,5,0,Paul Morphy
1,1,4,6,0,3,1,Paul Morphy
1,1,4,5,0,3,1,Paul Morphy
1,1,4,7,1,4,1,Paul Morphy
1,1,8,3,1,2,1,Paul Morphy
0,1,4,4,0,4,0,Paul Morphy
1,1,4,5,0,3,1,Paul Morphy
1,0,4,4,0,2,1,Paul Morphy
1,1,4,6,1,4,1,Paul Morphy
0,1,3,4,2,2,1,Paul Morphy
1,1,5,5,1,8,1,Paul Morphy
1,1,4,7,2,4,1,Paul Morphy
1,0,4,4,0,2,1,Paul Morphy
0,1,6,5,1,3,1,Paul Morphy
1,1,6,6,1,4,0,Paul Morphy
1,1,5,4,2,8,0,Paul Morphy
1,1,6,3,0,4,1,Paul Morphy
0,1,3,6,2,2,1,Paul Morphy
1,1,3,4,5,7,0,Paul Morphy
1,1,3,7,2,5,0,Paul Morphy
1,1,6,3,0,4,1,Paul Morphy
1,1,7,2,0,3,0,Paul Morphy
1,1,5,3,0,4,1,Paul Morphy
1,1,4,3,0,2,1,Paul Morphy
1,0,8,1,2,5,0,Paul Morphy
1,1,4,5,0,5,1,Paul Morphy
1,1,5,6,1,4,1,Paul Morphy
1,1,3,7,0,2,1,Paul Morphy
1,1,4,5,0,3,1,Paul Morphy
1,1,5,2,4,5,1,Paul Morphy
1,1,2,7,2,3,1,Paul Morphy
1,1,1,4,1,6,1,Paul Morphy
1,1,3,8,0,3,1,Paul Morphy
1,1,3,5,2,3,1,Paul Morphy
2,1,2,6,1,5,1,Paul Morphy
1,1,4,6,0,3,1,Paul Morphy
0,1,3,3,0,0,1,Paul Morphy
1,0,6,5,1,3,0,Paul Morphy
1,0,5,5,2,6,1,Paul Morphy
2,1,4,4,4,3,0,Paul Morphy
1,1,5,4,1,1,1,Paul Morphy
1,1,4,5,2,2,1,Paul Morphy
1,1,5,4,3,3,0,Paul Morphy
1,1,2,8,1,1,0,Paul Morphy
1,1,3,6,1,4,1,Paul Morphy
1,0,6,4,2,5,1,Paul Morphy
1,1,5,2,2,2,1,Paul Morphy
1,1,4,4,1,3,1,Paul Morphy
1,0,3,6,0,2,1,Paul Morphy
1,1,4,5,1,4,1,Paul Morphy
1,0,4,4,0,0,1,Paul Morphy
1,1,5,3,1,0,1,Paul Morphy
1,1,4,3,0,1,1,Paul Morphy
1,1,6,4,0,4,1,Paul Morphy
2,0,7,2,1,3,1,Paul Morphy
1,1,4,5,2,3,1,Paul Morphy
1,1,8,3,0,4,1,Paul Morphy
1,1,3,7,0,3,1,Paul Morphy
1,1,5,3,1,3,1,Paul Morphy
1,1,3,8,0,3,1,Paul Morphy
1,0,6,4,1,2,1,Paul Morphy
1,0,5,4,0,0,1,Paul Morphy
1,1,4,7,0,3,1,Paul Morphy
1,1,2,4,2,4,1,Paul Morphy
1,1,4,5,0,4,1,Paul Morphy
1,1,5,7,0,5,1,Paul Morphy
1,1,1,4,3,4,1,Paul Morphy
1,1,3,5,2,6,0,Paul Morphy
1,1,7,4,2,8,1,Jose Raul Capablanca
1,1,2,5,3,3,1,Jose Raul Capablanca
0,1,5,6,0,2,1,Jose Raul Capablanca
1,0,8,4,0,0,1,Jose Raul Capablanca
0,1,4,4,1,2,1,Jose Raul Capablanca
1,1,5,1,1,4,0,Jose Raul Capablanca
1,1,4,5,1,4,1,Jose Raul Capablanca
1,1,5,0,1,4,0,Jose Raul Capablanca
1,1,5,4,3,6,1,Jose Raul Capablanca
1,1,6,4,0,4,1,Jose Raul Capablanca
0,1,5,3,0,2,1,Jose Raul Capablanca
1,1,6,5,1,6,1,Jose Raul Capablanca
