player,color,opponent,result,event,site,date,year,eco,opening,plycount
Paul Morphy,black,"Lichtenhein, Theodor",0-1,USA-01.Congress,New York,1857.??.??,1857,A83,"Dutch Defense, Staunton Gambit",67
Paul Morphy,white,"Paulsen, Louis",1-0,USA-01.Congress,New York,1857.??.??,1857,B40,Sicilian Defense,127
Paul Morphy,black,"Paulsen, Louis",0-1,USA-01.Congress,New York,1857.??.??,1857,C48,"Four Knights, Spanish Variation",56
Paul Morphy,white,"Paulsen, Louis",1-0,USA-01.Congress,New York,1857.??.??,1857,B40,Sicilian Defense,51
Paul Morphy,black,"Paulsen, Louis",0-1,USA-01.Congress,New York,1857.??.??,1857,C47,Four Knights Game,62
Paul Morphy,white,"Lyttelton, George Williams",1-0,Birmingham sim,Birmingham,1858.??.??,1858,C39,"King’s Gambit Accepted, Allgaier Gambit",33
Paul Morphy,white,"Rhodes, J.",1-0,Birmingham sim,Birmingham,1858.??.??,1858,C30,King’s Gambit,48
Paul Morphy,white,"Wills, A.",1-0,Birmingham sim,Birmingham,1858.??.??,1858,B40,Sicilian Defense,73
Paul Morphy,white,"Freeman, J.",1-0,Birmingham sim,Birmingham,1858.??.??,1858,C23,Bishop's Opening,73
Paul Morphy,white,"Carr, J.",1-0,Birmingham sim,Birmingham,1858.??.??,1858,B00,Uncommon King's Pawn Opening,49
Paul Morphy,white,Avery,1/2-1/2,Birmingham sim,Birmingham,1858.??.??,1858,B40,Sicilian Defense,66
Paul Morphy,white,"Salmon, G.",1-0,Birmingham sim,Birmingham,1858.??.??,1858,C51,Evans Gambit,97
Paul Morphy,white,"John, Walter",1-0,London,London,1858.??.??,1858,B00,Uncommon King's Pawn Opening,69
Paul Morphy,white,NN,1-0,London,London,1858.??.??,1858,C51,Evans Gambit,65
Paul Morphy,black,"Staunton, Howard",0-1,London,London,1858.??.??,1858,C41,Philidor Defense,68
Paul Morphy,black,"Deacon, Frederic",1-0,London,London,1858.??.??,1858,C38,"King’s Gambit Accepted, Hanstein Gambit",91
Paul Morphy,white,"Deacon, Frederic",1-0,London,London,1858.??.??,1858,C52,"Evans Gambit, Pierce Defense",65
Paul Morphy,white,"Lewis, Frederic",1-0,London,London,1858.??.??,1858,C51,Evans Gambit,55
Paul Morphy,white,"Hampton, TJ.",1-0,London,London,1858.??.??,1858,C51,Evans Gambit,33
Paul Morphy,white,"Boden, Samuel Standige",1/2-1/2,London m3,London,1858.??.??,1858,C64,"Ruy Lopez, Classical",113
Paul Morphy,black,"Owen, John",0-1,London m2,London,1858.??.??,1858,D40,"QGD, Semi-Tarrasch Defense",94
Paul Morphy,black,"Medley, George Webb",1-0,London m4,London,1858.??.??,1858,C51,Evans Gambit,59
Paul Morphy,white,"Medley, George Webb",1-0,London m4,London,1858.??.??,1858,C39,"King’s Gambit Accepted, Allgaier Gambit",51
Paul Morphy,black,"Barnes, Thomas Wilson",0-1,London m1,London,1858.??.??,1858,C41,Philidor Defense,44
Paul Morphy,black,"Barnes, Thomas Wilson",0-1,London m1,London,1858.??.??,1858,C65,"Ruy Lopez, Berlin Defense",80
Paul Morphy,black,"Barnes, Thomas Wilson",0-1,London m1,London,1858.??.??,1858,C41,Philidor Defense,48
Paul Morphy,black,"Barnes, Thomas Wilson",0-1,London m1,London,1858.??.??,1858,C77,"Ruy Lopez, Anderssen Variation",60
Paul Morphy,white,"Barnes, Thomas Wilson",1-0,London m1,London,1858.??.??,1858,C41,Philidor Defense,57
Paul Morphy,white,"Barnes, Thomas Wilson",1-0,London m1,London,1858.??.??,1858,C42,Petrov’s Defense,75
Paul Morphy,white,"Barnes, Thomas Wilson",0-1,London m1,London,1858.??.??,1858,B00,Uncommon King's Pawn Opening,100
Paul Morphy,white,"Barnes, Thomas Wilson",0-1,London m1,London,1858.??.??,1858,C30,King’s Gambit,106
Paul Morphy,white,"Owen, John",0-1,London m2,London,1858.??.??,1858,B00,Uncommon King's Pawn Opening,92
Paul Morphy,black,"Medley, George Webb",0-1,London m4,London,1858.??.??,1858,C65,"Ruy Lopez, Berlin Defense",50
Paul Morphy,black,"Medley, George Webb",0-1,London m4,London,1858.??.??,1858,C70,"Ruy Lopez, Morphy Defense",78
Paul Morphy,black,"Boden, Samuel Standige",1-0,London m3,London,1858.??.??,1858,C41,Philidor Defense,81
Paul Morphy,white,"Bird, Henry Edward",1-0,London m5,London,1858.??.??,1858,C39,"King’s Gambit Accepted, Allgaier Gambit",35
Paul Morphy,black,"Bird, Henry Edward",0-1,London m5,London,1858.??.??,1858,C41,Philidor Defense,58
Paul Morphy,black,"Boden, Samuel Standige",0-1,London m3,London,1858.??.??,1858,C65,"Ruy Lopez, Berlin Defense",48
Paul Morphy,black,"Boden, Samuel Standige",1/2-1/2,London m3,London,1858.??.??,1858,C41,Philidor Defense,70
Paul Morphy,black,"Boden, Samuel Standige",1/2-1/2,London m3,London,1858.??.??,1858,C42,Petrov’s Defense,82
Paul Morphy,white,"Boden, Samuel Standige",1-0,London m3,London,1858.??.??,1858,C55,Two Knights Defense,69
Paul Morphy,white,"Boden, Samuel Standige",1-0,London m3,London,1858.??.??,1858,C30,King’s Gambit,59
Paul Morphy,white,"Boden, Samuel Standige",1-0,London m3,London,1858.??.??,1858,C30,King’s Gambit,69
Paul Morphy,white,"Boden, Samuel Standige",1-0,London m3,London,1858.??.??,1858,C58,"Two Knights Defense, Fried Liver Attack",99
Paul Morphy,white,"Bird, Henry Edward",1-0,London m5,London,1858.??.??,1858,C51,Evans Gambit,61
Paul Morphy,white,"Boden, Samuel Standige",1-0,London m3,London,1858.??.??,1858,C54,Giuoco Piano,105
Paul Morphy,black,"Loewenthal, Johann Jacob",1/2-1/2,London m,London,1858.??.??,1858,C41,Philidor Defense,102
Paul Morphy,white,"Loewenthal, Johann Jacob",1-0,London m,London,1858.??.??,1858,C30,King’s Gambit,55
Paul Morphy,black,"Loewenthal, Johann Jacob",0-1,London m,London,1858.??.??,1858,C42,Petrov’s Defense,160
Paul Morphy,white,"Loewenthal, Johann Jacob",1-0,London m,London,1858.??.??,1858,C30,King’s Gambit,61
Paul Morphy,black,"Loewenthal, Johann Jacob",1-0,London m,London,1858.??.??,1858,C42,Petrov’s Defense,139
Paul Morphy,white,"Loewenthal, Johann Jacob",1-0,London m,London,1858.??.??,1858,B32,"Sicilian Defense, Labourdonnais–Loewenthal",57
Paul Morphy,black,"Loewenthal, Johann Jacob",0-1,London m,London,1858.??.??,1858,C41,Philidor Defense,56
Paul Morphy,white,"Loewenthal, Johann Jacob",0-1,London m,London,1858.??.??,1858,C41,Philidor Defense,118
Paul Morphy,black,"Loewenthal, Johann Jacob",0-1,London m,London,1858.??.??,1858,C64,"Ruy Lopez, Classical",134
Paul Morphy,white,"Loewenthal, Johann Jacob",1-0,London m,London,1858.??.??,1858,C01,"French Defense, Exchange Variation",67
Paul Morphy,black,"Loewenthal, Johann Jacob",1-0,London m,London,1858.??.??,1858,B44,"Sicilian Defense, Taimanov",89
Paul Morphy,white,"Loewenthal, Johann Jacob",1-0,London m,London,1858.??.??,1858,C01,"French Defense, Exchange Variation",49
Paul Morphy,black,"Loewenthal, Johann Jacob",1/2-1/2,London m,London,1858.??.??,1858,C42,Petrov’s Defense,88
Paul Morphy,white,"Loewenthal, Johann Jacob",1-0,London m,London,1858.??.??,1858,C77,"Ruy Lopez, Anderssen Variation",97
Paul Morphy,white,"Forde, A.",1-0,New Orleans sim,New Orleans,1858.??.??,1858,C52,"Evans Gambit, Pierce Defense",45
Paul Morphy,white,NN,1-0,New Orleans sim,New Orleans,1858.??.??,1858,C37,"King’s Gambit Accepted, Muzio Gambit",37
Paul Morphy,white,NN,1-0,New Orleans sim,New Orleans,1858.??.??,1858,C52,"Evans Gambit, Pierce Defense",53
Paul Morphy,white,"Maurian, Charles Amedee",1-0,New Orleans m2,New Orleans,1858.??.??,1858,C33,King’s Gambit Accepted,51
Paul Morphy,white,NN,1-0,New Orleans sim,New Orleans,1858.??.??,1858,C37,"King’s Gambit Accepted, Muzio Gambit",55
Paul Morphy,white,NN,1-0,New Orleans sim,New Orleans,1858.??.??,1858,C52,"Evans Gambit, Pierce Defense",57
Paul Morphy,white,NN,1-0,New Orleans sim,New Orleans,1858.??.??,1858,C52,"Evans Gambit, Pierce Defense",57
Paul Morphy,white,NN,1-0,New Orleans sim,New Orleans,1858.??.??,1858,C52,"Evans Gambit, Pierce Defense",65
Paul Morphy,white,NN,1-0,New Orleans sim,New Orleans,1858.??.??,1858,C51,Evans Gambit,69
Paul Morphy,white,NN,1-0,New Orleans sim,New Orleans,1858.??.??,1858,C55,Two Knights Defense,37
Paul Morphy,white,NN,1-0,New Orleans sim,New Orleans,1858.??.??,1858,C55,Two Knights Defense,45
Paul Morphy,black,"Smith, J.",0-1,New Orleans sim,New Orleans,1858.??.??,1858,C39,"King’s Gambit Accepted, Allgaier Gambit",132
Paul Morphy,white,NN,1-0,New Orleans sim,New Orleans,1858.??.??,1858,C57,"Two Knights Defense, Fegatello Attack",33
Paul Morphy,black,"Journoud, Paul",1-0,Paris it,Paris,1858.??.??,1858,C51,Evans Gambit,101
Paul Morphy,white,"Bottin, A.",1-0,Paris it,Paris,1858.??.??,1858,C20,King's Pawn Game,19
Paul Morphy,white,"Chamouillet, M.",1-0,Paris it,Paris,1858.??.??,1858,C01,"French Defense, Exchange Variation",51
Paul Morphy,white,Duke Karl Count Isouard,1-0,Paris it,Paris,1858.??.??,1858,C41,Philidor Defense,33
Paul Morphy,black,"Journoud, Paul",0-1,Paris it,Paris,1858.??.??,1858,C50,Italian Game,76
Paul Morphy,black,"De Saint Amant, Pierre Charles Four",0-1,Paris it,Paris,1858.??.??,1858,C54,Giuoco Piano,44
Paul Morphy,white,"Journoud, Paul",1-0,Paris it,Paris,1858.??.??,1858,B21,"Sicilian Defense, Smith–Morra Gambit",33
Paul Morphy,black,"Anderssen, Adolf",0-1,Paris m1,Paris,1858.??.??,1858,C39,"King’s Gambit Accepted, Allgaier Gambit",48
Paul Morphy,black,"Anderssen, Adolf",1-0,Paris m1,Paris,1858.??.??,1858,C39,"King’s Gambit Accepted, Allgaier Gambit",63
Paul Morphy,black,"Anderssen, Adolf",0-1,Paris m1,Paris,1858.??.??,1858,C33,King’s Gambit Accepted,70
Paul Morphy,white,"Anderssen, Adolf",1-0,Paris m1,Paris,1858.??.??,1858,C38,"King’s Gambit Accepted, Hanstein Gambit",37
Paul Morphy,black,"Baucher, H.",0-1,Paris it,Paris,1858.??.??,1858,C39,"King’s Gambit Accepted, Allgaier Gambit",88
Paul Morphy,white,"Anderssen, Adolf",1-0,Paris it,Paris,1858.??.??,1858,C38,"King’s Gambit Accepted, Hanstein Gambit",37
Paul Morphy,white,Guibert,1/2-1/2,Paris sim,Paris,1858.??.??,1858,B01,Scandinavian Defense,84
Paul Morphy,white,"Lequesne, E.",1/2-1/2,Paris sim,Paris,1858.??.??,1858,B00,Uncommon King's Pawn Opening,64
Paul Morphy,white,"De Riviere, Jules Arnous",0-1,Paris m2,Paris,1858.??.??,1858,C51,Evans Gambit,88
Paul Morphy,black,"De Riviere, Jules Arnous",0-1,Paris m2,Paris,1858.??.??,1858,C51,Evans Gambit,88
Paul Morphy,white,Bornemann,1-0,Paris sim,Paris,1858.??.??,1858,C30,King’s Gambit,63
Paul Morphy,black,"De Riviere, Jules Arnous",0-1,Paris m2,Paris,1858.??.??,1858,C51,Evans Gambit,94
Paul Morphy,white,"Bierwisch, Bernhard",1-0,Paris sim,Paris,1858.??.??,1858,C01,"French Defense, Exchange Variation",67
Paul Morphy,white,"Seguin, M.",1-0,Paris sim,Paris,1858.??.??,1858,C41,Philidor Defense,93
Paul Morphy,black,"De Riviere, Jules Arnous",1/2-1/2,Paris m2,Paris,1858.??.??,1858,C77,"Ruy Lopez, Anderssen Variation",75
Paul Morphy,white,"Preti, J.",1-0,Paris sim,Paris,1858.??.??,1858,B21,"Sicilian Defense, Smith–Morra Gambit",47
Paul Morphy,black,"De Riviere, Jules Arnous",1-0,Paris m2,Paris,1858.??.??,1858,C51,Evans Gambit,101
Paul Morphy,white,"De Riviere, Jules Arnous",1-0,Paris m2,Paris,1858.??.??,1858,C51,Evans Gambit,43
Paul Morphy,white,"Baucher, H.",1-0,Paris sim,Paris,1858.??.??,1858,C62,"Ruy Lopez, Old Steinitz Defense",53
Paul Morphy,white,Potier,1-0,Paris sim,Paris,1858.??.??,1858,C42,Petrov’s Defense,49
Paul Morphy,black,"Harrwitz, Daniel",1-0,Paris m3,Paris,1858.??.??,1858,D35,"Queen’s Gambit Declined, Exchange Variation",109
Paul Morphy,white,"Anderssen, Adolf",0-1,Paris m1,Paris,1858.??.??,1858,C52,"Evans Gambit, Pierce Defense",144
Paul Morphy,black,"Anderssen, Adolf",1/2-1/2,Paris m1,Paris,1858.??.??,1858,C77,"Ruy Lopez, Anderssen Variation",88
Paul Morphy,white,"Harrwitz, Daniel",0-1,Paris m3,Paris,1858.??.??,1858,C62,"Ruy Lopez, Old Steinitz Defense",74
Paul Morphy,black,"Harrwitz, Daniel",0-1,Paris m3,Paris,1858.??.??,1858,A85,"Dutch Defense, Rubinstein Variation",108
Paul Morphy,white,"Anderssen, Adolf",1-0,Paris m1,Paris,1858.??.??,1858,C65,"Ruy Lopez, Berlin Defense",39
Paul Morphy,white,"Harrwitz, Daniel",1-0,Paris m3,Paris,1858.??.??,1858,C62,"Ruy Lopez, Old Steinitz Defense",69
Paul Morphy,black,"Anderssen, Adolf",0-1,Paris m1,Paris,1858.??.??,1858,C77,"Ruy Lopez, Anderssen Variation",102
Paul Morphy,black,"Harrwitz, Daniel",0-1,Paris m3,Paris,1858.??.??,1858,A85,"Dutch Defense, Rubinstein Variation",108
